,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
104,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Whatsstoppingyou,E McNamara,T:                             Ray Hackett                                                    50,6,93.0,,,None,11,,,,,False,,0,97.0,5
105,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Tullyhogue Fort,John Earls,T:                             John F O'Neill,6,89.0,,,None,11,,,,,False,,0,105.0,6
106,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Watermelon Girl,Shane O'Callaghan,T:                             John C McConnell                                                    45,7,77.0,,,None,11,,,,,False,,0,91.0,7
107,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Creggsman,Ross O'Sullivan,T:                             Gavin Cromwell                                                    46,7,90.0,,,None,11,,,,,False,,0,93.0,8
108,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Appian Way,Hows Your Father Syndicate,T:                             Charles O'Brien,6,87.0,,,None,11,,,,,False,,0,107.0,9
109,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Chief Black Robe,Danny Mullins,T:                             P J Rothwell                                                    10,6,30.0,,,None,11,,,,,False,,0,87.0,10
110,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Helly Hansum,John Patrick Ryan,T:                             2                                                    Noel C Kelly,8,18.0,,,None,11,,,,,False,,0,39.0,11
111,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Cassidys Girl,John Patrick Ryan,T:                             J F O'Shea,6,89.0,,,None,10,,,,,False,,0,100.0,12
112,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Chinook,Tommy Brett,T:                             Declan Queally,4,72.0,,,None,10,,,,,False,,0,99.0,13
113,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Fainche,Ray Hackett,T:                             E Sheehy                                                    63,5,61.0,,,None,10,,,,,False,,0,86.0,14
114,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,King's War,Eamon Stapleton,T:                             Mrs Ann Mooney,13,93.0,,,None,10,,,,,False,,0,97.0,15
115,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Nanny Tess,Mr P J O'Neill,T:                             Alan Donoghue,5,16.0,,,None,10,,,,,False,,0,37.0,16
116,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Punk Rock Girl,John F O'Neill,T:                             Cian Michael Collins                                                    50,4,75.0,,,None,10,,,,,False,,0,86.0,17
117,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Killinure Lass,Aisling O'Neill & Mrs Janeanne O'Neill,T:                             Brian M McMahon                                                    50,5,89.0,,,None,11,,,,,False,,0,98.0,18
118,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Oh'herewego,Brian Hayes,T:                             V T O'Brien,13,44.0,,,None,10,,,,,False,,0,99.0,19
119,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822084,-,,,-,-,-,-,-,-,Whiskey Lady,John C McConnell,T:                             Gillian Scott,5,75.0,,,None,11,,,,,False,,0,97.0,20
120,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822184,-,,,-,-,-,-,-,-,Battle Of Benburb,Kieren Buckley,T:                             John C McConnell                                                    45,5,90.0,,,None,12,,,,,False,,0,106.0,1
121,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822184,-,,,-,-,-,-,-,-,Ballyglass Beauty,John C McConnell,T:                             Liam P Cusack,6,62.0,,,None,11,,,,,False,,0,93.0,2
122,https://www.racingpost.com/racecards/190/listowel/2022-09-23/822184,-,,,-,-,-,-,-,-,Ballard Prince,Seamus Devlin,T:                             Eoghan O'Grady,5,75.0,,,None,11,,,,,False,,0,96.0,3
